,Short Code,Label ID
2,AgAga,1357
3,AgFra,1358
4,AgGra,1359
5,AgHum,1188
6,AgLam,1360
7,AgTen,1766
8,AgUnd,1770
9,Ascidians,4762
10,Basalt,2218
11,Bivalve,1829
12,*ANTI,3507
13,ClaArb,1361
14,COB,1771
15,colpo,6913
16,erythro,6916
17,EUNSPP,1384
18,sed_fine,1639
19,g_diplo,5994
20,Root hydro,3200
21,ICISPP,1391
22,IsophRig,1362
23,IsophSin,1363
24,LC,3011
25,MadCarm,1780
26,MadForm,1782
27,MadPhar,1784
28,MadSen,2458
29,MIS,1793
30,MILS,6868
31,MURSPP,1386
32,MURISPP,1387
33,MycetDan,1785
34,Mycetophy,390
35,Pachcla,2053
36,PorBran,1371
37,PLESPP,1382
38,PLEXSPP,1385
39,POLYCH,4015
40,PSESPP,1383
41,Pterogorg,1389
42,SidStel,3241
43,SCOCUB,1375
44,SCOLA,1789
45,Fire Sros,2456
46,TRIDI,1800
47,Tunicate,1854
48,AcrCerv,1768
49,AcrPalm,1769
50,AcrPro,1356
51,AG,2962
52,Anemone,3208
53,XES,2963
55,GORG-BRI,1795
54,Branch_oct,7768
56,bryozoan,1853
57,CHON,1796
58,CLIONI,1797
59,CoNat,1772
60,COSK,2790
61,Collimorph,134
62,DiplLab,1187
63,DenCyl,1773
64,dichoco,6915
65,ENSP,147
66,EFAS,382
67,FaviaFrag,1777
68,helios,6918
69,Hydra,456
70,Isophyllia,385
71,MILA,1742
72,MontaCav,110
73,MILC,1743
74,MadDeca,1781
75,MAMI,1783
76,Madracis,387
77,MAA,1182
78,MM,1183
79,Mil_spp,1976
80,MUSANG,1365
81,MycetAli,1366
82,MycetFer,1367
83,MycetLam,1786
85,OrbAnn,1368
86,OrbFav,1369
87,OrbFrank,1370
88,OCD,1787
89,CL-ORB,6643
91,PorAstr,113
92,PseuCliv,1373
93,PorDiv,1177
94,PorFurc,1176
95,PorPor,1788
96,Porites,74
97,PseuStrig,1374
98,Paly,419
99,Pavement,2513
100,ANTSPP,1388
101,SidRad,1376
102,SidSid,111
103,Siderastr,474
104,Sand,84
105,SCOL,197
106,GORSPP,1390
107,Seagrass,94
108,SOLBOU,1377
109,StephInt,1378
110,Tubastrea,78
111,ERSP,148
112,ZOA,981
113,CALG,140
114,CCA1,5309
115,CYANOB,2543
116,Dictyota,503
117,Halimeda,403
118,Lobophora,138
119,Encr_macro,7767
120,UnkMacroa,3591
122,Peyss,4441
123,Turf,82
124,Turf coral,2454
