,Source ID,Source Name,Source URL,Contains
0,3551,2Maldives_2Katie,https://coralnet.ucsd.edu/source/3551/,Acropora
1,3305,AFCD trial species,https://coralnet.ucsd.edu/source/3305/,Acropora
2,4029,Ahmed Fizal,https://coralnet.ucsd.edu/source/4029/,Acropora
3,290,AIMS LTMP,https://coralnet.ucsd.edu/source/290/,Acropora
4,3424,Ant,https://coralnet.ucsd.edu/source/3424/,Acropora
5,3412,Antigua_weird,https://coralnet.ucsd.edu/source/3412/,Acropora
6,3692,Bira benthic survey,https://coralnet.ucsd.edu/source/3692/,Acropora
7,2055,Cape Maeda2020,https://coralnet.ucsd.edu/source/2055/,Acropora
8,2759,Cape Maeda2021,https://coralnet.ucsd.edu/source/2759/,Acropora
9,3363,carib,https://coralnet.ucsd.edu/source/3363/,Acropora
10,3465,Caribbean bitbybit 2,https://coralnet.ucsd.edu/source/3465/,Acropora
11,3446,carib_bitbybit,https://coralnet.ucsd.edu/source/3446/,Acropora
12,57,Catlin.Seaview.Survey_Coral.Sea_south,https://coralnet.ucsd.edu/source/57/,Acropora
13,3479,cb3,https://coralnet.ucsd.edu/source/3479/,Acropora
14,3545,cb4,https://coralnet.ucsd.edu/source/3545/,Acropora
15,3559,cb5,https://coralnet.ucsd.edu/source/3559/,Acropora
16,1514,C-Maiki,https://coralnet.ucsd.edu/source/1514/,Acropora
17,70,Colby_GrElCaCaMa,https://coralnet.ucsd.edu/source/70/,Acropora
18,3420,CoralNet,https://coralnet.ucsd.edu/source/3420/,Acropora
19,2297,CoralNet_Assistance_Test_0921,https://coralnet.ucsd.edu/source/2297/,Acropora
20,3295,Coral Reef analysis,https://coralnet.ucsd.edu/source/3295/,Acropora
21,3414,curacao,https://coralnet.ucsd.edu/source/3414/,Acropora
22,3470,dumby,https://coralnet.ucsd.edu/source/3470/,Acropora
23,428,ES244_ClassExercise,https://coralnet.ucsd.edu/source/428/,Acropora
24,747,Espiritu Santo-Xcalak,https://coralnet.ucsd.edu/source/747/,Acropora
25,3697,French Polynesia SEA Reef Surveys,https://coralnet.ucsd.edu/source/3697/,Acropora
26,299,"Fushivelavaru, Noonu atoll surveying",https://coralnet.ucsd.edu/source/299/,Acropora
27,3329,Goat Island S1T2,https://coralnet.ucsd.edu/source/3329/,Acropora
28,2835,Guam_NAVAC_DoD_21,https://coralnet.ucsd.edu/source/2835/,Acropora
29,2131,Hanan Shafeeg,https://coralnet.ucsd.edu/source/2131/,Acropora
30,1588,INSITU 2019,https://coralnet.ucsd.edu/source/1588/,Acropora
31,3191,isabel,https://coralnet.ucsd.edu/source/3191/,Acropora
32,2384,IvorKSA,https://coralnet.ucsd.edu/source/2384/,Acropora
33,3735,Kai Kopecky (alternate),https://coralnet.ucsd.edu/source/3735/,Acropora
34,3565,kate_chris_example,https://coralnet.ucsd.edu/source/3565/,Acropora
35,3705,Madeleine Ward,https://coralnet.ucsd.edu/source/3705/,Acropora
36,3499,mal100,https://coralnet.ucsd.edu/source/3499/,Acropora
37,3583,malagain,https://coralnet.ucsd.edu/source/3583/,Acropora
38,3456,Maldives 2.0,https://coralnet.ucsd.edu/source/3456/,Acropora
39,2795,Maldives_2021,https://coralnet.ucsd.edu/source/2795/,Acropora
40,3401,Maldives_2022,https://coralnet.ucsd.edu/source/3401/,Acropora
41,3546,maldives_bbb4,https://coralnet.ucsd.edu/source/3546/,Acropora
42,3555,maldives_bbb5,https://coralnet.ucsd.edu/source/3555/,Acropora
43,3573,maldives_bbb6,https://coralnet.ucsd.edu/source/3573/,Acropora
44,3466,Maldives_bitbybit,https://coralnet.ucsd.edu/source/3466/,Acropora
45,3497,Maldives_bitbybit3,https://coralnet.ucsd.edu/source/3497/,Acropora
46,3416,maldives_check2020,https://coralnet.ucsd.edu/source/3416/,Acropora
47,3417,maldives_check2021,https://coralnet.ucsd.edu/source/3417/,Acropora
48,3460,Maldives_Katie,https://coralnet.ucsd.edu/source/3460/,Acropora
49,3421,maldives_theirs2,https://coralnet.ucsd.edu/source/3421/,Acropora
50,3300,Memba MB19,https://coralnet.ucsd.edu/source/3300/,Acropora
51,2978,Micro,https://coralnet.ucsd.edu/source/2978/,Acropora
52,3500,micro100,https://coralnet.ucsd.edu/source/3500/,Acropora
53,3554,micro_bbb4,https://coralnet.ucsd.edu/source/3554/,Acropora
54,3574,micro_bbb5,https://coralnet.ucsd.edu/source/3574/,Acropora
55,3015,Micro_challenge,https://coralnet.ucsd.edu/source/3015/,Acropora
56,3058,micro_combined,https://coralnet.ucsd.edu/source/3058/,Acropora
57,3411,Micronesia_2022,https://coralnet.ucsd.edu/source/3411/,Acropora
58,3467,Micronesia_bitbybit,https://coralnet.ucsd.edu/source/3467/,Acropora
59,3478,Micronesia_bitbybit2,https://coralnet.ucsd.edu/source/3478/,Acropora
60,3496,Micronesia_bitbybit3,https://coralnet.ucsd.edu/source/3496/,Acropora
61,3498,MLC2008,https://coralnet.ucsd.edu/source/3498/,Acropora
62,3413,montserrat,https://coralnet.ucsd.edu/source/3413/,Acropora
63,3207,Moreton Bay Genera,https://coralnet.ucsd.edu/source/3207/,Acropora
64,3298,Moreton Bay Transects,https://coralnet.ucsd.edu/source/3298/,Acropora
65,2130,nash,https://coralnet.ucsd.edu/source/2130/,Acropora
66,3519,North Shore Disease Surveys,https://coralnet.ucsd.edu/source/3519/,Acropora
67,4261,Nuichua_reef,https://coralnet.ucsd.edu/source/4261/,Acropora
68,843,Okinawa Coral Reef Conservation2017-18,https://coralnet.ucsd.edu/source/843/,Acropora
69,1645,Okinawa Coral Reef Conservation2019-20,https://coralnet.ucsd.edu/source/1645/,Acropora
70,2770,Okinawa Coral Reef Conservation2021,https://coralnet.ucsd.edu/source/2770/,Acropora
71,3351,Padangbai area,https://coralnet.ucsd.edu/source/3351/,Acropora
72,3606,Penida benthic surveys,https://coralnet.ucsd.edu/source/3606/,Acropora
73,3749,"Phuket, Thailand",https://coralnet.ucsd.edu/source/3749/,Acropora
74,3425,Pohnpei,https://coralnet.ucsd.edu/source/3425/,Acropora
75,2239,PSEPA2020,https://coralnet.ucsd.edu/source/2239/,Acropora
76,1655,Pulau Bidong (PPC deep),https://coralnet.ucsd.edu/source/1655/,Acropora
77,3777,Raja benthic survey,https://coralnet.ucsd.edu/source/3777/,Acropora
78,1301,Ray_Auto anotation test,https://coralnet.ucsd.edu/source/1301/,Acropora
79,3354,REEFolution Kenya,https://coralnet.ucsd.edu/source/3354/,Acropora
80,2091,Reef_research_Okinawa,https://coralnet.ucsd.edu/source/2091/,Acropora
81,2124,Reef_research_Okinawa1,https://coralnet.ucsd.edu/source/2124/,Acropora
82,3468,Rindah and Jason,https://coralnet.ucsd.edu/source/3468/,Acropora
83,3569,Samoa_2022-09,https://coralnet.ucsd.edu/source/3569/,Acropora
84,2311,Solitaries Jan 2021,https://coralnet.ucsd.edu/source/2311/,Acropora
85,1713,Southern Arabian Gulf Biodiversity Assessment 2019,https://coralnet.ucsd.edu/source/1713/,Acropora
86,3064,Southern Line Islands,https://coralnet.ucsd.edu/source/3064/,Acropora
87,82,Stanford@Sea_2013,https://coralnet.ucsd.edu/source/82/,Acropora
88,4249,STEP-UP_One.07/21/23,https://coralnet.ucsd.edu/source/4249/,Acropora
89,3656,SUSMB 2021-2022 Benthic Photogrammetry,https://coralnet.ucsd.edu/source/3656/,Acropora
90,2798,test_archipelago.set_marker.determination,https://coralnet.ucsd.edu/source/2798/,Acropora
91,3637,Test Bronx River 2019,https://coralnet.ucsd.edu/source/3637/,Acropora
92,3567,Tonga_2022-08 & Samoa_2022-09 & Samoa_2019-12 & Samoa_2017-12,https://coralnet.ucsd.edu/source/3567/,Acropora
93,3410,Transnational Red Sea Center,https://coralnet.ucsd.edu/source/3410/,Acropora
94,3386,Tuamotus,https://coralnet.ucsd.edu/source/3386/,Acropora
95,3063,Vamizi,https://coralnet.ucsd.edu/source/3063/,Acropora
96,1989,Villingili,https://coralnet.ucsd.edu/source/1989/,Acropora
97,3307,Waimushan Coral,https://coralnet.ucsd.edu/source/3307/,Acropora
98,3577,WAPA RFI,https://coralnet.ucsd.edu/source/3577/,Acropora
99,3415,Windward,https://coralnet.ucsd.edu/source/3415/,Acropora
100,3046,WorkshopTest,https://coralnet.ucsd.edu/source/3046/,Acropora
101,109,WSU West Hawaii,https://coralnet.ucsd.edu/source/109/,Acropora
102,2416,小琉球珊瑚隨手拍,https://coralnet.ucsd.edu/source/2416/,Acropora
